,age,gender,time_spent,platform,interests,location,demographics,userid,profession,income,indebt,isHomeOwner,Owns_Car,income_range,,,
,56,male,3,Instagram,Sports,United Kingdom,Urban,1,Software Engineer,19774,True,False,False,High,,,
,46,female,2,Facebook,Travel,United Kingdom,Urban,2,Student,10564,True,True,True,Low,,,
,32,male,8,Instagram,Sports,Australia,Sub_Urban,3,Marketer Manager,13258,False,False,False,Medium,23,Marketer Manager,
,60,non-binary,5,Instagram,Travel,United Kingdom,Urban,4,Student,12500,False,True,False,Medium,,,
,25,male,1,Instagram,Lifestlye,Australia,Urban,5,Software Engineer,14566,False,True,True,Medium,,,
,38,male,3,Facebook,Travel,United States,Urban,6,Marketer Manager,19179,True,True,True,High,,,
,56,male,8,YouTube,Sports,United States,Urban,7,Student,16881,True,True,True,High,,,
,36,male,4,Instagram,Sports,Australia,Urban,8,Marketer Manager,13636,True,False,True,Medium,,,
,40,non-binary,7,YouTube,Lifestlye,Australia,Sub_Urban,9,Marketer Manager,16030,False,False,True,High,,,
,28,non-binary,2,Instagram,Sports,Australia,Sub_Urban,10,Marketer Manager,10223,True,False,True,Low,,,
,28,female,7,YouTube,Lifestlye,United Kingdom,Urban,11,Student,16297,True,True,False,High,,,
,41,non-binary,5,Facebook,Sports,United States,Sub_Urban,12,Marketer Manager,10350,False,False,False,Low,,,
,53,non-binary,5,Facebook,Sports,Australia,Rural,13,Student,17314,False,True,True,High,,,
,57,female,6,Instagram,Lifestlye,United Kingdom,Urban,14,Software Engineer,11928,False,True,False,Low,,,
,41,non-binary,9,YouTube,Travel,United States,Rural,15,Student,17743,True,True,False,High,,,
,20,male,6,Facebook,Sports,United Kingdom,Sub_Urban,16,Software Engineer,18540,True,True,False,High,,Profession,student
,39,male,8,Instagram,Travel,United States,Sub_Urban,17,Student,14732,True,True,False,Medium,,income,19774
,19,female,7,Instagram,Sports,United Kingdom,Rural,18,Marketer Manager,11017,False,True,True,Low,,,
,41,female,9,Facebook,Sports,United States,Sub_Urban,19,Student,12226,False,False,False,Medium,,,
